Item,Category,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22,Year_23,Year_24,Year_25,Year_26,Year_27,Year_28,Year_29,Year_30,Year_31,Year_32,Year_33,Year_34,Year_35,Year_36,Year_37,Year_38,Year_39,Year_40,Year_41,Year_42,Year_43,Year_44,Year_45,Year_46,Year_47,Year_48,Year_49,Year_50,Year_51,Year_52,Year_53,Year_54,Year_55,Year_56,Year_57,Year_58,Year_59,Year_60,Year_61,Year_62,Year_63,Year_64,Year_65,Year_66,Year_67,Year_68,Year_69,Year_70,Year_71,Year_72,Year_73,Year_74,Year_75,Year_76,Year_77,Year_78,Year_79,Year_80
Item_0001,Category_01,11906.75154621854,23768.317230675395,23697.0841586225,23611.661451034794,23517.19816215259,23416.748132968147,23319.62905856414,23216.632675710163,23102.987592776353,23000.48211755503,22906.67955279993,22815.964389922912,22725.60847256733,22635.610385255462,22545.968710241206,22456.68203431524,22367.748951073427,22279.168063185207,22190.937968783226,22103.057290952467,22015.52463463076,21928.338625171484,21841.497890196406,21755.001061864077,21668.84678140664,21583.03368778782,21497.560433581722,21412.425666825668,417317.9131576415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0002,Category_01,28278.530704190816,56449.745014768996,56280.566506071875,56077.687605323736,55853.33733676089,55614.76854920535,55384.11076224039,55139.49439152489,54869.58735840334,54626.13689671798,54403.35585759767,54187.90735597253,53973.31208798022,53759.56665103009,53546.667710583264,53334.61188673306,53123.39586762456,52913.016273351044,52703.46983742548,52494.75327067691,52286.86321588255,52079.79647460718,51873.54975767984,51668.119843981374,51463.50346702474,51259.69738300686,51056.698438860396,50854.50339078224,991129.9232409794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0003,Category_01,84.18135246127217,168.04132717278114,167.53370499404778,166.92559843811145,166.25430296089036,165.5414054821779,164.8532660470142,164.12359508935353,163.31816193473318,162.59266901813865,161.92938305784963,161.28810936386986,160.64937525013582,2528.227030546062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0004,Category_01,558.6580204710995,1115.183261505419,1111.8144964570984,1107.7788805769426,1103.323920123963,1098.5928732383397,1094.0261301966207,1089.183768918732,1083.8386220178882,1079.0239873170563,1074.6221810011032,1070.3664560682173,1066.1275846205278,16778.232492551735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0005,Category_01,0.0,2711.6988295757537,2710.837760684006,2708.7300776217057,2706.4096013034246,2702.634567384491,2700.573634556764,2698.51427349908,2696.456482623565,122104.25484530047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0006,Category_01,21134.660910878014,26462.390965034887,26462.60468810548,26462.901174203296,26449.806352381594,11614.241202726767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0007,Category_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54897.94949402643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0008,Category_01,4271.14596597908,8537.083915358566,8527.821140357464,8516.223140168628,8502.362176744004,8486.360280594869,8469.819795176025,8451.618137778338,8435.213202497644,8417.789833271,8399.766616800876,150090.25850903348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0009,Category_01,0.0,64844.79354719362,64664.08254725135,64443.90269795157,64185.822071856,63920.2095618207,63630.14025092937,63389.08010917967,63061.67680236003,62765.34824448603,62501.83488336199,62254.31476446484,62007.77486388381,61762.211302665506,61517.62024722448,61273.99779592347,61031.34013786089,60789.64348481917,60548.90400321286,60309.11785945644,60070.28133338417,59832.39065946237,59595.44209484133,59359.43185130344,59124.35629941868,58890.211696337305,58656.99432189356,58424.7005466574,1.670000300179693e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0010,Category_01,0.0,47839.616617390886,47706.29606079563,47543.85710877814,47353.45664216137,47157.499518164455,46943.4992271742,46765.65572648113,46524.1120539153,46305.49397104255,46111.08550215668,45928.476106151844,45746.58989676498,45565.423970452044,45384.97552347835,45205.24167271542,45026.21960989175,44847.9065131255,44670.29957414517,44493.39599148447,44317.19298636103,44141.68778226086,43966.87761174357,43792.7597277843,43619.331385626596,43446.58985639275,43274.532418010225,43103.156362016874,1.2320522875167034e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0011,Category_01,6049.956573550303,12092.43531217925,12079.012779365794,12062.283187031882,12042.376942866982,12019.439196851677,11995.812299198544,11969.833483247914,11946.499764147644,11921.724226746135,11896.099393643388,11875.785732346947,11855.506759328047,11835.26241334005,11815.052637673118,11794.877371080613,11774.736556852697,20936.363133427072,20674.43410697968,20400.319108141368,26261.12361424451,25729.98969967292,25176.392471374726,24597.588831083503,23992.60976544103,23361.180717819418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0012,Category_01,3310.9936252634143,6618.005173730122,6610.989991328618,6602.164156603979,6591.568335051327,6579.31228290325,6566.598357740996,6552.596093800016,6539.931862340092,6526.477726264628,6512.558378921139,6501.437598876944,6490.335807557002,6479.252975472194,6468.189066328218,6457.144052904352,6446.117896637899,6435.110570308135,6424.122039889153,6413.152273623439,6402.201239753483,54869.36816578169,54738.19136401963,21814.231672767353,55785.1350245668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0013,Category_01,2464.1563456770727,4925.287488833243,4919.881990408778,4913.129372317812,4905.077039453359,4895.7897521891755,4886.206757113071,4875.665597045108,4866.181408664858,4856.10981064417,4845.692216790066,4837.417762807609,4829.15743411316,4820.911212559571,63478.82170240272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0014,Category_01,4649.352428374432,9292.996931530131,9282.79787246348,9270.057082713802,9254.863998242288,9237.34081288456,9219.259684321478,9199.370704901563,9181.476004280505,9162.472986878736,9142.817143896977,9127.204962334397,9111.619436667015,9096.060526063744,119771.37634970804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0015,Category_01,6481.197286093072,12954.437722820672,12940.220233678749,12922.459572445587,12901.280412311206,12876.853091500616,12851.648001981155,12823.922761008609,12798.977552289856,12772.487342842433,12745.087099182168,12723.323716500594,12701.597494645768,12679.90837237106,166961.29320423384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0016,Category_01,19852.733098382592,39681.09335823617,39637.54337586279,39583.14020905313,39518.26574416685,39443.44175033385,39366.235341917505,39281.30939895516,39204.89904930667,39123.75615654,39039.82572540457,38973.16170652561,38906.611526988025,38840.17498263637,511423.71628386056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0017,Category_01,7466.859999030221,14924.553071769718,14908.173381443294,14887.711673427426,14863.311582415658,14835.169344884678,14806.131053251669,14774.189349159293,14745.450465088441,14714.931615525382,14683.364334777156,14658.291168234206,14633.260817623674,14608.273205820173,192352.82205532448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
