Item,Category,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22,Year_23,Year_24,Year_25,Year_26,Year_27,Year_28,Year_29,Year_30,Year_31,Year_32,Year_33,Year_34,Year_35,Year_36,Year_37,Year_38,Year_39,Year_40,Year_41,Year_42,Year_43,Year_44,Year_45,Year_46,Year_47,Year_48,Year_49,Year_50,Year_51,Year_52,Year_53,Year_54,Year_55,Year_56,Year_57,Year_58,Year_59,Year_60,Year_61,Year_62,Year_63,Year_64,Year_65,Year_66,Year_67,Year_68,Year_69,Year_70,Year_71,Year_72,Year_73,Year_74,Year_75,Year_76,Year_77,Year_78,Year_79,Year_80
Item_0001,Category_01,451224.6922937908,457238.7412549818,472429.6241637867,488092.05126759724,503875.3223577548,519861.7320505208,496206.77272851346,475012.37408916093,456265.87632315385,439597.02031814714,424890.1452864146,424846.2685621383,425081.7590876199,425489.3045135469,426014.60967723606,426614.21559868136,427236.96103490517,427812.7867321686,428260.94195577287,428492.6375032769,428410.7921592279,427938.500411605,427108.88548910955,425984.74459365837,424629.874638922,423108.8436962376,421455.01862646214,419570.1121178253,417317.9131576415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0002,Category_01,1.0716585166006037e6,1.0859418801280267e6,1.1220202234917576e6,1.1592184841665195e6,1.1967037492548414e6,1.2346714684259295e6,1.178490945755752e6,1.1281542541970997e6,1.0836313266599153e6,1.044042797837175e6,1.009113973366581e6,1.0090097661630202e6,1.00956905611505e6,1.010536976396123e6,1.0117845760249826e6,1.0132086399177492e6,1.0146876601421529e6,1.0160552459662624e6,1.0171196144575574e6,1.0176698912609941e6,1.0174755085121094e6,1.0163538156828821e6,1.0143834804059638e6,1.0117136460218111e6,1.0084958301570278e6,1.0048833819773236e6,1.0009555477947204e6,996478.8952504885,991129.9232409794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0003,Category_01,2873.7598390629955,2919.5050236909483,2947.6226519813044,2968.1842267746224,2978.6140909844607,2979.122080116853,2875.978346103166,2786.04402456577,2710.1743557545196,2647.148035612349,2597.2250943038607,2573.997269268664,2551.240535827783,2528.227030546062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0004,Category_01,19071.31328044134,19374.894964986852,19561.493769659253,19697.94786312755,19767.164250020942,19770.535474625758,19086.036246080148,18489.199472106746,17985.70083798704,17567.435327458894,17236.128595923507,17081.980347290963,16930.958434767617,16778.232492551735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0005,Category_01,102421.38132746104,108985.42229921083,112208.9019157337,115100.49139153122,117542.24903196764,119529.25906152303,119035.25029123397,119259.99217144406,120285.03827313376,122104.25484530049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0006,Category_01,123311.5866581792,108407.66346043073,86132.72872808012,62508.53145324649,37613.64986542369,11614.241202726767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0007,Category_01,20851.968718224634,22490.40519987025,24705.275175347353,27008.593213698314,29368.980668204837,31778.128077886024,31749.789849778113,31922.652088776857,32314.132621446763,32917.978175846474,33748.93818397419,35624.60348144164,37620.99409018429,39735.15442736721,41968.04005646607,44321.12826452193,46794.56358214165,49385.6355384138,52089.25808896113,54897.94949402643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0008,Category_01,164748.10882401196,170100.20442598412,171347.31115351172,172028.03444956423,171990.66868672438,171252.41498122472,165638.89669318846,160847.8465536816,156930.56190239466,153812.93703502536,151521.31389603502,150090.25850903348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0009,Category_01,1.344723108482779e6,1.397844864409545e6,1.457759079352315e6,1.5204029292130857e6,1.5846805564089888e6,1.6508427113495923e6,1.5797016597344852e6,1.5168966790394634e6,1.4623253556127297e6,1.4148730834101588e6,1.3742078513448266e6,1.385638976428527e6,1.3985881006269823e6,1.4127429585837647e6,1.4279611302611867e6,1.4441332856209823e6,1.4611208437209753e6,1.4787158517819047e6,1.496666477007929e6,1.5146841602076588e6,1.532440706368681e6,1.5496691840019922e6,1.5664963331824152e6,1.583163955545291e6,1.5999271970478343e6,1.6170547216472928e6,1.634705735969622e6,1.6525278363826917e6,1.670000300179693e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Item_0010,Category_01,992077.1384692696,1.0312680179568124e6,1.0754700722774568e6,1.1216859304456697e6,1.1691071173210149e6,1.217918625458562e6,1.165433910025562e6,1.119099178378243e6,1.0788388742866274e6,1.0438306908143965e6,1.0138296848905704e6,1.0222630637782793e6,1.0318163552673702e6,1.042259183789704e6,1.0534864781725942e6,1.0654175795540856e6,1.0779502490550124e6,1.0909310683230672e6,1.1041742463004729e6,1.1174668968003178e6,1.1305668920527482e6,1.1432773018357116e6,1.155691629372141e6,1.1679882652167238e6,1.1803554447256303e6,1.1929913763069154e6,1.20601351556492e6,1.219161874684061e6,1.2320522875167034e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
