OrderItem,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22,Year_23,Year_24,Year_25,Year_26,Year_27,Year_28,Year_29,Year_30,Year_31,Year_32,Year_33,Year_34,Year_35,Year_36,Year_37,Year_38,Year_39,Year_40,Year_41,Year_42,Year_43,Year_44,Year_45,Year_46,Year_47,Year_48,Year_49,Year_50,Year_51,Year_52,Year_53,Year_54,Year_55,Year_56,Year_57,Year_58,Year_59,Year_60,Year_61,Year_62,Year_63,Year_64,Year_65,Year_66,Year_67,Year_68,Year_69,Year_70,Year_71,Year_72,Year_73,Year_74,Year_75,Year_76,Year_77,Year_78,Year_79,Year_80,Year_81
Order_0001,96.18899097946067,103.69267045355696,105.28478109062056,106.87001012432596,108.1643866372883,109.4224941120001,110.66125912011617,111.8166605273651,112.92640296919572,113.93689926447587,114.84569827289636,114.03949420116025,113.26586631983804,112.4921158617542,111.7008866682445,110.8782913815748,110.0089211738032,109.07308453501422,108.04924998494829,107.39074314789427,105.64684517027786,104.5187979127121,102.66996281382232,101.08872042986037,99.2070581838061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0002,0.0,98.93574483547832,105.53686230704704,107.12977033857445,108.42877015172542,109.6902804754805,110.93040295078794,112.08733426377327,113.19989774808383,114.20979752855122,115.11969141423714,114.30947480706249,113.53401541530076,112.75843315658545,111.96533078274847,111.14078805869785,110.26935967715858,109.33130750992886,108.30504910246066,107.64498329606796,105.89695676074507,104.7662389294082,102.91302684144364,101.32804097563016,99.4419240245033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0003,0.0,0.0,100.95516381584807,107.63063634437901,109.01256517089251,110.36364230613022,111.70179482608185,112.96438760379559,114.19332623583477,115.33123833214432,116.37649452332457,115.59967692694966,114.85847248157374,114.12084793604382,113.36715957834036,112.58337004939119,111.75387984837923,110.85871631175428,109.87600663482121,109.3523697990031,107.55558090880615,106.56350683790001,104.65813830468005,103.21373063622441,101.37189165515832,99.4419240245033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0004,0.0,0.0,0.0,102.88311133434986,109.27354126266647,110.6317270129552,111.97459877636014,113.2405940583678,114.47085759972998,115.61025064237764,116.65816526183147,115.87651229822438,115.13249586496903,114.39102114128006,113.63554847857861,112.84990338219285,112.01844942056772,111.12116664625503,110.13613047220916,109.61125396244128,107.81021129896472,106.81578856139146,104.9059092001056,103.45808199651232,101.61188258919596,99.67734589381519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0005,0.0,0.0,0.0,0.0,105.18394639234816,111.7166914931808,113.25196156451011,114.72744656885692,116.18693620785031,117.57447068845485,118.89248836824027,118.1815354472781,117.50876094265902,116.84365412156104,116.16644947114136,115.46391760268483,114.71804711145559,113.90839696429617,113.01251461056479,112.7593229036008,110.8668681028472,110.14953317424948,108.14183544630848,106.97590242433557,105.22226448831009,103.38137632181933,101.46235039925608,99.4419240245033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0006,0.0,0.0,0.0,0.0,0.0,106.97890791837197,113.52304211314643,115.00592342379537,116.47040978361625,117.86163213909128,119.18117491150414,118.46730230745915,117.79311013338672,117.12343422068275,116.4435693994891,115.73727043235652,114.98963414438683,114.1780672065679,113.28006391339909,113.02627279260103,111.1293377361489,110.4103045667793,108.39785375348964,107.22916046582175,105.47137091341268,103.62612457165932,101.70255548810658,99.67734589381519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0007,0.0,0.0,0.0,0.0,0.0,0.0,110.46869204922513,117.27069038225648,119.08507641648643,120.8562222563209,122.58821522562316,121.98656023097621,121.43084708766656,120.88614992123954,120.33282631522985,119.75943303648012,119.14767399949632,118.47745652829542,117.72335784774951,117.88502335311267,115.86408249993178,115.56849931453988,113.42325880085764,112.6850341989944,111.07715014708604,109.38366250129279,107.61420181347692,105.74404223042418,103.74038309822129,101.57146363859307,99.2070581838061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.54613769191242,119.37004835959799,121.14928443146653,122.88690812671888,122.28418830476502,121.72553975192213,121.17831994927843,120.62386238927134,120.04611679683757,119.43185177048122,118.75794370270222,118.00205974574737,118.16410798300001,116.13838269228845,115.84209973417268,113.6917805121206,112.95180821463052,111.34011760856654,109.64262074803676,107.8689709845681,105.99438392820092,103.9859812717451,101.81192704548216,99.4419240245033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.54315676016296,122.52848949405,124.49186296602983,123.93765811127969,123.42893374245656,122.93181348551056,122.42981927368851,121.90777343512204,121.34767723780942,120.73121009441218,120.03268516195287,120.41891451985828,118.28898045884688,118.22288849149557,115.96121578690028,115.45705027219164,113.90782096465924,112.27346851489281,110.56387334190389,108.75361051924538,106.80885967679474,104.69675241063003,102.3858749652137,100.81621484175275,99.2070581838061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.81648881046914,124.78973951783823,124.23805974722401,123.7296170438049,123.23168471520455,122.72688354532683,122.20236820827556,121.64111995529444,121.02019654835786,120.31895813558265,120.70399796162461,118.5690214292102,118.50277299370269,116.23574593558789,115.7303868439339,114.1774898432917,112.53926817727053,110.82562565608977,109.01107716154957,107.0617222561429,104.94461472227756,102.62826643452499,101.05489024941224,99.4419240245033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
